Project Gutenberg Kids Books,Languages,,,,,,,,,,,,,,,
https://www.gutenberg.org/wiki/Children%27s_Literature_(Bookshelf),da,de,el,en,eo,es,fi,fr,hu,it,la,nl,pt,sv,tl,zh
,,22167,31562,,,49280,14801,17834,,34346,7402,46985,26848,,,23838
,,42489,28061,,,17338,39058,54482,,57787,51220,48384,33581,,,24234
,,24213,34874,,,46496,44781,29523,,25175,53807,36381,33056,,,24142
,,56136,42509,,,22899,58161,27931,,45226,826,29371,37192,,,24154
,,33491,36248,,,10814,24209,48135,,25312,16564,18412,31197,,,23914
,,15813,37641,,,58713,24863,38705,,58579,9090,38397,27242,,,23817
,,40317,36129,,,44112,53119,57964,,43689,16439,17593,30571,,,25402
,,15756,34951,,,50492,48632,23618,,35660,51139,27783,30424,,,38580
,,46410,36622,,,56451,56253,40489,,56857,45527,19774,29998,,,29079
,,39919,36049,,,53552,52005,22769,,31077,51443,28868,27255,,,25249
,,55103,34820,,,16059,14336,30633,,28368,57232,3455,23400,,,25223
,,55547,34118,,,33406,44845,54089,,46351,30345,44758,31742,,,24041
,,20937,32660,,,20029,26403,39016,,29864,9646,31107,22616,,,27104
,,31199,31400,,,34731,44657,26827,,38338,58978,38396,14620,,,23912
,,41882,32211,,,27167,55356,53439,,30369,19072,11500,14621,,,25377
,,42311,39409,,,30280,41363,38118,,30738,56744,49551,23879,,,25229
,,47700,39069,,,40066,12379,12451,,22503,13316,55521,22907,,,23842
,,44452,40935,,,27034,50116,13653,,56655,49697,37402,20574,,,24098
,,36901,40935,,,25687,48048,9053,,46843,20356,55662,35130,,,27294
,,46086,37816,,,13479,52427,48477,,57565,14970,36381,34960,,,24037
,,58219,36284,,,41106,53438,25734,,22502,52693,6922,19046,,,24038
,,47945,35020,,,26545,20454,37989,,51706,52692,19720,54829,,,26904
,,44246,39536,,,25640,49868,16888,,35065,27219,58522,29161,,,24178
,,49543,27946,,,40827,54359,26808,,22502,38937,57222,29996,,,25636
,,54565,27946,,,53552,56370,25715,,49184,14945,13869,22330,,,24193
,,50870,39476,,,44173,47594,37941,,39541,23294,55485,24464,,,23840
